דגשים למילוי התפריט,,,,,,,,
• קטגוריות (מסומנות באדום) – יש לערוך את שם הקטגוריה בהתאם לתפריט שלכם.,,,,,,,,
"• עמודת ההערות (מסומנת בצהוב) – מיועדת למקרים שבהם תרצו ליידע אותנו על פרטים נוספים בנוגע למנה, להוסיף אפשרויות שאינן קיימות או להוסיף מידע רלוונטי.",,,,,,,,
"• העמודות המוצגות הן בגדר המלצה ומתאימות לרוב התפריטים, ניתן לשנות אותן לפי הצורך כדי להתאים באופן מיטבי לתפריט שלכם, אין צורך למלא עמודות שאינן רלוונטיות.",,,,,,,,
• במידה ויש צורך בקטגוריות נוספות ניתן להיעזר בטאב הנוסף - ׳קטגוריות נוספות׳,,,,,,,,
,,,,,,,,
## פיצות,,,,,,,,
שם מנה,פירוט מנה,מחיר,תוספות על הפיצה,"מחיר תוספת
 מגש שלם","מחיר תוספת 
חצי מגש",כמה תוספות ללא תשלום,שינויים אפשריים,הערות
מגש L,פיצה בינונית עם רוטב עגבניות ומוצרלה,52,,,,,יתכנו שינויים במחירים ובמלאי הירקות,קוטר 36
מגש אישי,פיצה אישית עם רוטב עגבניות ומוצרלה,35,,,,,יתכנו שינויים במחירים ובמלאי הירקות,מגש אישי
,,,,,,,,
## פסטות,,,,,,,,
שם מנה,פירוט מנה,מחיר,תוספות אפשריות ללא תשלום,תוספות בתשלום,שינויים אפשריים,הערות,,
רוטב עגבניות ובזיליק,פסטה ברוטב עגבניות טרי עם בזיליקום,52,,,,,,
שמנת פטריות,פסטה ברוטב שמנת עם פטריות טריות,52,,,,,,
רוזה,פסטה ברוטב עגבניות ושמנת,52,,,,,,
,,,,,,,,
## סלטים,,,,,,,,
שם מנה,פירוט מנה,מחיר,תוספות אפשריות ללא תשלום,תוספות בתשלום,שינויים אפשריים,הערות,,
סלט קטן,ירקות טריים בתיבול שמן זית ולימון,39,,"ביצה קשה, טונה, אבוקדו, בולגרית",,,,
סלט גדול,ירקות טריים בתיבול שמן זית ולימון,55,,"ביצה קשה, טונה, אבוקדו, בולגרית",,,,
,,,,,,,,
## ספיישלים,,,,,,,,
שם מנה,פירוט מנה,מחיר,תוספות אפשריות ללא תשלום,תוספות בתשלום,שינויים אפשריים,הערות,,
פיש & צ'יפס,דג מטוגן בציפוי פריך עם צ'יפס,68,,,,,,
צ'יז קראסט,מגש פיצה עם קראסט ממולא בגבינה ,72,,,,,,
מרקים (בעונה),מרק חם,32,,,,בעונה,,
מקלות שוקולד,מקלות עם שוקולד,32,,,,,,
צ'יפס קטן,מנה,15,,,,,,
צ'יפס גדול,מנה גדולה,24,,,,,,
לחם שום,מנה,22,,,,,,
,,,,,,,,
## התוספות למגש L ,,,,,,,,
שם מנה,פירוט מנה,מחיר,תוספות אפשריות ללא תשלום,תוספות בתשלום,שינויים אפשריים,הערות,,
